"full_name","state","edu_med","edu_law","edu_masters","edu_doctorate","work_bluecollar","work_business","work_education","work_farming","work_lawenforcement","work_lobbying","work_media","work_medicine","work_military","work_nonprofits","work_privatelaw","work_realestate","work_religiousleader","work_science","work_sports","gov_fedstate","gov_local","gov_none","gov_publiclawyerjudge","gov_stateleg","new","gender","party","college_none","college_public","college_private","college_elite"
"David Rouzer","NC","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"M","Republican",0,1,0,0
"David Schweikert","AZ","",0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,"M","Republican",0,1,0,0
"David Scott","GA","",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"M","Democrat",0,1,0,0
"David Trone","MD","",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,NA,"Democrat",0,0,1,0
"Dean Phillips","MN","",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,NA,"Democrat",0,0,0,1
"Deb Haaland","NM","",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,NA,"Democrat",0,1,0,0
"Debbie Dingell","MI","",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"F","Democrat",0,0,1,0
"Debbie Lesko","AZ","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,"Republican",0,1,0,0
"Debbie Mucarsel-Powell","FL","",0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,NA,"Democrat",0,0,1,0
"Debbie Wasserman Schultz","FL","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"F","Democrat",0,1,0,0
"Denny Heck","WA","",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"M","Democrat",0,1,0,0
"Denver Riggleman","VA","",0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,NA,"Republican",0,1,0,0
"Derek Kilmer","WA","",0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"M","Democrat",0,0,0,1
"Devin Nunes","CA","",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"M","Republican",0,1,0,0
"Diana DeGette","CO","",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"F","Democrat",0,0,1,0
"Dina Titus","NV","",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"F","Democrat",0,1,0,0
"Don Bacon","NE","",0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"M","Republican",0,1,0,0
"Don Beyer Jr.","VA","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"M","Democrat",0,0,1,0
"Don Young","AK","",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,"M","Republican",0,1,0,0
"Donald M. Payne Jr.","NJ","",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"M","Democrat",1,0,0,0
"Donald McEachin","VA","",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"M","Democrat",0,0,1,0
"Donald Norcross","NJ","",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"M","Democrat",1,0,0,0
