last_name,first_name,full_name,party,state,edu_college,edu_med,edu_law,edu_masters,edu_doctorate,work_bluecollar,work_business,work_education,work_farming,work_lawenforcement,work_lobbying,work_media,work_medicine,work_military,work_nonprofits,work_privatelaw,work_realestate,work_religiousleader,work_science,work_sports,gov_fedstate,gov_local,gov_none,gov_publiclawyerjudge,gov_stateleg
Rice,Tom,Tom Rice,,SC,public,,1,1,,,,,,,,,,,,1,,,,,,1,,,
Cárdenas,Tony,Tony Cárdenas,,CA,public,,,,,,,,,,,,,,,,1,,1,,,1,,,1
Kelly,Trent,Trent Kelly,,MS,public,,1,1,,,1,,,,,,,1,,1,,,,,,,,1,
Hollingsworth,Trey,Trey Hollingsworth,,IN,elite,,,1,,,1,,,,,,,,,,,,,,,,1,,
Balderson,Troy,Troy Balderson,Republican,OH,none,,,,,,1,,1,,,,,,,,,,,,,,,,1
Gabbard,Tulsi,Tulsi Gabbard,,HI,private,,,,,,1,,,,,,,1,,,,,,,,1,,,1
Demings,Val,Val Demings,,FL,public,,,1,,,,,,1,,,,,,,,,,,,,1,,
Taylor,Van,Van Taylor,Republican,TX,elite,,,1,,,,,,,,,,1,,,1,,,,,,,,1
Buchanan,Vern,Vern Buchanan,,FL,private,,,1,,,1,,,,,,,1,,,,,,,,,1,,
Escobar,Veronica,Veronica Escobar,Democrat,TX,public,,,1,,,,1,,,,,,,1,,,,,,,1,,1,
Gonzalez,Vicente,Vicente Gonzalez,,TX,private,,1,,,,,,,,,,,,,1,,,,,,,1,,
Hartzler,Vicky,Vicky Hartzler,,MO,public,,,1,,,1,1,1,,,,,,,,,,,,,,,,1
Foxx,Virginia,Virginia Foxx,,NC,public,,,1,1,,1,1,,,,,,,,,,,,,,1,,,1
Jones,Walter B.,Walter B. Jones,,NC,private,,,,,,1,,,,,,,1,,,,,,,,,,,1
Davidson,Warren,Warren Davidson,,OH,public,,,1,,,1,,,,,,,1,,,,,,,,1,,,
Hurd,Will,Will Hurd,,TX,public,,,,,,1,,,1,,,,,,,,,,,,,1,,
Clay,William Lacy,William Lacy Clay,,MO,public,,,,,,,,,,,,,,,,1,,,,,,,,1
Timmons,William,William Timmons,Republican,SC,private,,1,1,,,1,,,,,,,1,,,,,,,,,,1,1
Small,Xochitl Torres,Xochitl Torres Small,Democrat,NM,private,,1,,,,,,,,,,,,,1,,,,,,,1,,
Clarke,Yvette D.,Yvette D. Clarke,,NY,none,,,,,,,,,,,,,,1,,,,,,,1,,,
Lofgren,Zoe,Zoe Lofgren,,CA,elite,,1,,,,,1,,,,,,,1,1,,,,,,1,,,
,,,,,,21,159,148,21,16,159,60,22,12,17,20,27,77,51,127,24,6,14,8,62,141,105,60,199
,,,,,,4.84%,36.64%,34.10%,4.84%,3.69%,36.64%,13.82%,5.07%,2.76%,3.92%,4.61%,6.22%,17.74%,11.75%,29.26%,5.53%,1.38%,3.23%,1.84%,14.29%,32.49%,24.19%,13.82%,45.85%
